1000 102
0 1 5
0 2 10
0 3 15
1 2 3
1 4 2
2 5 1
3 6 4
4 7 7
5 8 6
6 9 3
7 10 5
8 11 2
9 12 10
10 13 4
11 14 8
12 15 3
13 16 9
14 17 1
15 18 6
16 19 2
17 20 7
18 21 5
19 22 3
20 23 8
21 24 4
22 25 1
23 26 6
24 27 9
25 28 2
26 29 5
27 30 7
28 31 3
29 32 8
30 33 4
31 34 1
32 35 6
33 36 9
34 37 2
35 38 7
36 39 3
37 40 5
38 41 1
39 42 6
40 43 8
41 44 3
42 45 7
43 46 2
44 47 5
45 48 9
46 49 4
47 50 6
48 51 1
49 52 8
50 53 3
51 54 7
52 55 2
53 56 5
54 57 9
55 58 4
56 59 6
57 60 1
58 61 8
59 62 3
60 63 7
61 64 2
62 65 5
63 66 9
64 67 4
65 68 6
66 69 1
67 70 8
68 71 3
69 72 7
70 73 2
71 74 5
72 75 9
73 76 4
74 77 6
75 78 1
76 79 8
77 80 3
78 81 7
79 82 2
80 83 5
81 84 9
82 85 4
83 86 6
84 87 1
85 88 8
86 89 3
87 90 7
88 91 2
89 92 5
90 93 9
91 94 4
92 95 6
93 96 1
94 97 8
95 98 3
96 99 7
97 100 2
98 999 5
0 999
